commit_id,OSV-2023-1205,OSV-2023-1206,OSV-2023-1207,OSV-2023-1208,OSV-2023-1294,OSV-2023-1305,OSV-2023-1311,OSV-2023-1312,OSV-2023-1313,OSV-2023-1322,OSV-2023-342,OSV-2023-68,OSV-2023-75,OSV-2023-840,OSV-2023-95,OSV-2023-97,OSV-2024-637,OSV-2024-638,OSV-2025-534,OSV-2025-584,OSV-2025-589
78dddbc900b786da09a5f0df7a799f0a88ef1ea7,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0|1,0.5|1,0.5|1,0.5|1,0.5|1,0|0,0|0,0|0,0.5|1,0|0,0|0,0.5|1,0|0,0.5|1,0|0,0|0
eb20999248fccc6bf6635f5e56c2263a91f0162d,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0|0,0|0,0|0,0.5|1,0|0,0|0,0.5|1,0|0,0.5|1,0|0,0|0
f1f3a33bc416e4aabf306db693d5d873b1c32d2f,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0|1,0.5|1,0.5|1,0.5|1,0.5|1,0|0,0|0,0|0,0.5|1,0|0,0|0,0.5|1,0|0,0.5|1,0|0,0|0
fef966515c1e8a4f18a9fea436707699a6b50c55,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0|1,0.5|1,0.5|1,0.5|1,0.5|1,0|0,0|0,0|0,0.5|1,0|0,0|0,0.5|1,0|0,0.5|1,0|0,0|0
d9ef5790efa895abdfadb5aca29b79633a98c3f6,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0|0,0|0,0|0,0.5|1,0|0,0|0,0.5|1,0|0,0.5|1,0|0,0|0
7429c172946719e61e76785a49849f3cec0bd646,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0|1,0|0,0|0,0|0,0.5|1,0|0,0|0,0.5|1,0|0,0.5|1,0|0,0|0
c68f552fce1f944c63191ab8202f36ce2e7f19eb,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0|1,0.5|1,0.5|1,0.5|1,0.5|1,0|0,0|0,0|0,0.5|1,0|0,0|0,0.5|1,0|0,0.5|1,0|0,0|0
2074f2bfaf317fb231bfdcd99f4650cd4a773b5d,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0|1,0.5|1,0.5|1,0.5|1,0.5|1,0|0,0|0,0|0,0.5|1,0|0,0|0,0.5|1,0|0,0.5|1,0|0,0|0
f0b559e4dc5c9f1ce0c1e5c6d9ee3e06321dfef7,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0|1,0.5|1,0.5|1,0.5|1,0|1,0|0,0|0,0|0,0.5|1,0|0,0|0,0.5|1,0|0,0.5|1,0|0,0|0
50fd862b8dedcd3dcae211e283115b01215f5171,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0|0,0|0,0|0,0.5|1,0|0,0|0,0.5|1,0|0,0.5|1,0|0,0|0
