commit_id,OSV-2020-1121,OSV-2020-1222,OSV-2020-1301,OSV-2020-1733,OSV-2020-955,OSV-2020-958,OSV-2020-998,OSV-2020-999,OSV-2021-220,OSV-2021-222,OSV-2021-228,OSV-2021-229,OSV-2021-231,OSV-2021-240,OSV-2021-242,OSV-2021-251,OSV-2021-258,OSV-2021-305,OSV-2023-1370,OSV-2023-837,OSV-2024-1212,OSV-2024-189,OSV-2024-20,OSV-2024-74
7c16b5665daf4b2af82574d24f1649f3c385fe2c,0|0,0.5|1,0.5|1,0|0,0.5|1,0|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
5e7b76be9686be149a339bbf601d60d1531e0feb,0|0,0.5|1,0.5|1,0|0,0.5|1,0|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
ed4c2815ee767698c187d8bf81736ce3e39e87b7,0|0,0.5|1,0.5|1,0|0,0.5|1,0|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
f6b3b61d5dad168a5c1ffb7f89a7fd5590db284b,0|0,0.5|1,0.5|1,0|0,0.5|1,0|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
15d8b73f31b47bc2ae3199fe3a5ff75628eab0dc,0|0,0.5|1,0.5|1,0|0,0.5|1,0|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
a53582f980c46fd1e8f6e3bed9dbcc7dd379a395,0|0,0.5|1,0.5|1,0|0,0.5|1,0|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
ca2f6674749ed83e27ee04d2d8a10ec97f617f70,0|0,0.5|1,0.5|1,0|0,0.5|1,0|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
ea879e19b8572644f67d9cd8b047fe2b75d83188,0|0,0.5|1,0.5|1,0|0,0.5|1,0|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
fd0f89554459b78c07303e2c8a42acacd6851b46,0|0,0.5|1,0.5|1,0|0,0.5|1,0|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
97cfef8c558211850c1495d3fdfa1cf7475f57de,0|0,0.5|1,0.5|1,0|0,0.5|1,0|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
